ingredient_id,name,status,sources
Acetic_acid,Acetic acid,Halal,"103,409"
Adipic_acid,Adipic acid,Halal,"155,454"
Agar_agar,Agar agar,Halal,"170,467"
Alfa_Tocopherol,Alfa Tocopherol,Halal,"122,426"
Allura_Red_AC,Allura Red AC,Halal,21
Amidated_Pectin,Amidated Pectin,Mushbooh,"192,486"
Ammonium_carbonate,Ammonium carbonate,Halal,"232,513"
Ammonium_phosphatides,Ammonium phosphatides,Mushbooh,194
Annatto,Annatto,Halal,"48,357"
Anthocyanin,Anthocyanin,Halal,"61,370"
Ascorbic_acid,Ascorbic acid,Halal,"117,421"
Ascorbyl_palmitate,Ascorbyl palmitate,Mushbooh,"120,424"
Aspartame,Aspartame,Halal,325
Azorubine,Azorubine,Mushbooh,"16,340"
Beeswax,Beeswax,Halal,"303,561"
Bentonite,Bentonite,Halal,"272,543"
Benzoic_acid,Benzoic acid,Halal,"73,382"
Beta_carotene,Beta carotene,Mushbooh,"47,356"
Betanin,Betanin,Mushbooh,"60,369"
Black_carbon,Black carbon,Halal,"44,353"
Brilliant_Blue_FCF,Brilliant Blue FCF,Halal,"24,347"
Brown_HT,Brown HT,Mushbooh,"46,355"
Butylated_hydroxyanisole,Butylated hydroxyanisole,Mushbooh,"131,432"
Butylated_hydroxytoluene,Butylated hydroxytoluene,Mushbooh,"132,433"
Calcium_acetate,Calcium acetate,Halal,"106,412"
Calcium_alginate,Calcium alginate,Halal,"168,465"
Calcium_ascorbate,Calcium ascorbate,Halal,"119,423"
Calcium_carbonate,Calcium carbonate,Halal,"62,371"
Calcium_chloride,Calcium chloride,Halal,"236,517"
Calcium_citrate,Calcium citrate,Halal,"140,441"
Calcium_gluconate,Calcium gluconate,Halal,"280,550"
Calcium_lactate,Calcium lactate,Halal,"136,437"
Calcium_phosphate,Calcium phosphate,Mushbooh,"148,449"
Calcium_propanoate,Calcium propanoate,Halal,"110,416"
Calcium_sulphate,Calcium sulphate,Halal,"243,522"
Canthaxanthin,Canthaxanthin,Mushbooh,"59,368"
Capsanthin,Capsanthin,Halal,"49,358"
Caramel_Color,Caramel Color,Halal,"39,351"
Carbon_dioxide,Carbon dioxide,Halal,"114,418"
Carboxymethyl_cellulose,Carboxymethyl cellulose,Halal,"206,493"
Carminic_acid,Carminic acid,Haraam,"13,339"
Carnauba_wax,Carnauba wax,Halal,"305,562"
Carrageenan,Carrageenan,Halal,"171,468"
Cellulose,Cellulose,Halal,"201,488"
Chlorophyll_a,Chlorophyll a,Mushbooh,"25,348"
Chlorophyllin,Chlorophyllin,Mushbooh,"29,349"
Citric_acid,Citric acid,Halal,"137,438"
Crosslinked_sodium_carboxymethyl_cellulose,Crosslinked sodium carboxymethyl cellulose,Halal,208
Curcumin,Curcumin,Mushbooh,"1,333"
Dextrin,Dextrin,Halal,26
Dimethyl_dicarbonate,Dimethyl dicarbonate,Halal,98
Dimethylpolysiloxane,Dimethylpolysiloxane,Halal,"302,560"
Disodium_5_ribonucleotides,Disodium 5 ribonucleotides,Mushbooh,"297,557"
Disodium_guanylate,Disodium guanylate,Mushbooh,"289,555"
Erythritol,Erythritol,Halal,331
Ethylenediaminetetraacetic_acid,Ethylenediaminetetraacetic acid,Halal,"163,460"
Ferrous_lactate,Ferrous lactate,Halal,281
Fumaric_acid,Fumaric acid,Halal,"116,420"
Gelatin,Gelatin,Mushbooh,193
Gellan_gum,Gellan gum,Halal,179
Glucono_delta_lactone,Glucono delta lactone,Halal,"277,547"
Glutamic_acid,Glutamic acid,Mushbooh,"282,551"
Glycerol,Glycerol,Mushbooh,"182,477"
Glycerol_esters_of_wood_rosins,Glycerol esters of wood rosins,Halal,196
Glycine,Glycine,Mushbooh,300
Guar_gum,Guar gum,Halal,"173,470"
