product_id,label,manufacturer,certificate_status,ingredients,cluster,umap_1,umap_2
1001delights_potato_crisps_sweet_spicy,1001delights potato crisps sweet spicy,;,NoCertificate,"spicesacid,Citric_acid,Wheat_Flour,Salt,Milk,alpha,essential_oil,Antioxidant,high_oleic_sunflower_oil,colour,Spice,Sugar,belly_pork,beech,Tocopherol,Wheat,Dextrose,Glucose_Syrup,Paprika_Extract,Starch,Water,Ascorbic_acid,potato",0,2.6424804,10.319081
100_pur_bio_pomme_fraise_banane,100 pur bio pomme fraise banane,;,NoCertificate,"puree_strawberry,currant_juice,apple_juice,concentrated_juice,Lemon_Juice,banana_puree",2,3.4340274,0.5377562
100_real_bacon_pieces,100 real bacon pieces,;,NoCertificate,"flavouring,Potassium_chloride,Sugar,Water,bacon,Brown_Sugar,Salt,sodiurythorbate,sodium_phosphates,Sodium_ascorbate,Dextrose",0,7.009774,-0.056268983
100_salsas_veggie_refried_beans,100 salsas veggie refried beans,;,NoCertificate,"Onion,garlic_clove,Vegetable_Oil,Bean,Salt,Water,Spice,Onion,garlic_clove,Vegetable_Oil,Bean,Salt,Water,Spice",0,1.661449,7.4670506
123_bio_dattes_deglet_nour_avec_noyau,123 bio dattes deglet nour avec noyau,;,NoCertificate,"araines_sesame,fruit,hull",1,-2.6937969,4.047054
123_bio_tahin,123 bio tahin,;,NoCertificate,"Sesame_Seed,additives",1,-1.4926764,5.747868
123bio_goji_baies_sechees,123bio goji baies sechees,;,NoCertificate,"dried,lycium_barbarum,berry",1,7.1639504,-3.1077678
1336_scop_ti_pomme_cannelle,1336 scop ti pomme cannelle,;,NoCertificate,"hibiscus,apple,Cinnamon,apple_fruit",1,-4.9974318,3.1546388
180_snacks_inc_180_snacks_pistachio_trail_mix_crunch,180 snacks inc 180 snacks pistachio trail mix crunch,;,NoCertificate,"Sea_Salt,pure_sugar,cashews,pistachios,baked_nut,Rice",1,-1.1030548,6.2363076
1908_brands_inc_appleooz_crunchy_apple_chips_original,1908 brands inc appleooz crunchy apple chips original,;,NoCertificate,"Pineapple_Juice,apple_juice,apple,Filtered_Water,Lemon_Juice,Orange_Juice,ground_cinnamon",2,2.5716093,0.45196363
1908_brands_inc_appleooz_crunchy_apple_chipz_original,1908 brands inc appleooz crunchy apple chipz original,;,NoCertificate,"ground_cinnamon,Filtered_Water,Orange_Juice,apple_juice,Lemon_Juice,Pineapple_Juice,apple",2,2.5619667,0.4535939
1_2_3_bio_jus_pomme_carotte,1 2 3 bio jus pomme carotte,;,NoCertificate,"carrot_juice,apple_juice",4,-9.48863,4.37822
1_2_3_fruits_jus_dananas,1 2 3 fruits jus dananas,;,NoCertificate,"seulernent,top,fruit,aioutes",1,7.0144687,2.3269866
1_2_3_fruits_jus_de_pomme_a_base_de_concentre,1 2 3 fruits jus de pomme a base de concentre,;,NoCertificate,"concentrated,apple_juice",4,-4.2785864,17.261984
25_turron_duro,25 turron duro,;,NoCertificate,"amido_batata,carbono,liquidoalicante,ervar_fresco,girasolconteucares",1,-3.709437,2.6775713
2_bananes,2 bananes,;,NoCertificate,Banana,1,-16.272057,17.177862
2_three_bean_sweetcorn_roasted_red_pepper_burgers,2 three bean sweetcorn roasted red pepper burgers,;,NoCertificate,"pumpkin_seed,Wheat_Flour,Calcium_carbonate,green_bean,thyme,rapeseed_oil,Red_Pepper,Bean,sweetcorn,laurel,Thiamin,Niacin,Sugar,haricot_bean,Dried_Potato,toto_puree,kidney_bean,Salt,Onion_Powder,red_pepper_extract,Water,Black_Pepper,sunflower_oil,Carrot,Garlic,Curcumin,iron,oregano,Onion,leek,Potato_Starch,Citric_acid,pumpkin_seed,Wheat_Flour,Calcium_carbonate,green_bean,thyme,rapeseed_oil,Red_Pepper,Bean,sweetcorn,laurel,Thiamin,Niacin,Sugar,haricot_bean,Dried_Potato,toto_puree,kidney_bean,Salt,Onion_Powder,red_pepper_extract,Water,Black_Pepper,sunflower_oil,Carrot,Garlic,Curcumin,iron,oregano,Onion,leek,Potato_Starch,Citric_acid",0,1.248144,10.371639
365_delhaize_mousseline_de_pommes,365 delhaize mousseline de pommes,;,NoCertificate,"Ascorbic_acid,apple,Antioxidant,Fructose,Citric_acid,Glucose_Syrup,sugar_acidifying",7,-5.059429,6.4261184
365_everyday_value_artichoke_hearts,365 everyday value artichoke hearts,;,NoCertificate,"Citric_acid,Salt,artichoke_heart,Water",1,-13.160272,19.073446
365_everyday_value_artichoke_quarters,365 everyday value artichoke quarters,;,NoCertificate,"artichoke_quarter,Sea_Salt,Water,Citric_acid",1,-11.357916,13.526327
365_everyday_value_cannellini_beans,365 everyday value cannellini beans,;,NoCertificate,"Bean,Water,Bean,Water",1,-5.0311613,0.24019307
